Project ID,Category,Quantity,Cost price,Sales price
QTE-000091,PAIDSER-SUBS,1.0,131.04,175.0
QTE-000086,WAR-FLIGHT,1.0,408.94,306.75
QTE-000086,WAR-CARHIRE,1.0,163.82,127.37
QTE-000086,WAR-OTH,1.0,48.33,36.25
QTE-000086,WAR-HOTEL,1.0,220.07,165.05
QTE-000086,WAR-SUBS,1.0,262.08,196.56
QTE-000093,PAIDSER-FLIGHT,1.0,393.42,393.43
QTE-000093,PAIDSER-SUBS,1.0,62.8,175.0
QTE-000093,PAIDSER-MILEAGE,104.0,0.36,0.45
QTE-000094,INST-FLIGHT,1.0,148.04,0.0
QTE-000094,INST-OTH,1.0,554.4,0.0
QTE-000094,INST-TOLL,1.0,114.21,0.0
QTE-000094,INST-HOTEL,1.0,1200.4,0.0
QTE-000094,INST-CARHIRE,1.0,273.24,0.0
QTE-000094,INST-MILEAGE,104.0,0.36,0.0
QTE-000101,WAR-HOTEL,1.0,78.5,58.88
QTE-000101,WAR-SUBS,1.0,29.6,22.2
QTE-000101,WAR-MILEAGE,240.0,0.36,0.27
QTE-000100,PAIDSER-HOTEL,1.0,232.5,232.5
QTE-000100,PAIDSER-SUBS,3.5,86.21,175.0
QTE-000100,PAIDSER-MILEAGE,640.0,0.36,0.45
QTE-000100,PAIDSER-TOLL,1.0,22.0,22.0
QTE-000099,PAIDSER-HOTEL,1.0,232.5,232.5
QTE-000099,PAIDSER-SUBS,3.0,102.62,175.0
QTE-000099,PAIDSER-MILEAGE,1285.0,0.36,0.45
QTE-000098,PAIDSER-HOTEL,1.0,86.0,86.0
QTE-000098,PAIDSER-SUBS,1.0,159.21,175.0
QTE-000098,PAIDSER-MILEAGE,599.0,0.36,0.45
QTE-000098,PAIDSER-TOLL,1.0,6.0,6.0
QTE-000079,PAIDSER-HOTEL,1.0,288.0,0.0
QTE-000079,PAIDSER-SUBS,3.5,93.19,175.0
QTE-000079,PAIDSER-MILEAGE,1438.0,0.36,0.45
QTE-000098,PAIDSER-TOLL,1.0,6.0,6.0
QTE-000098,PAIDSER-HOTEL,1.0,86.0,0.0
QTE-000099,PAIDSER-SUBS,3.5,87.96,175.0
QTE-000099,PAIDSER-HOTEL,1.0,232.5,0.0
QTE-000100,PAIDSER-HOTEL,1.0,232.5,0.0
QTE-000097,GRATIS-SUBS,1.0,11.6,0.0
QTE-000096,PAIDSER-OTH,1.0,355.02,177.51
QTE-000096,PAIDSER-OTH,1.0,280.4,280.4
QTE-000096,PAIDSER-MILEAGE,288.0,0.36,0.45
QTE-000096,PAIDSER-FLIGHT,1.0,664.32,664.32
QTE-000096,PAIDSER-OTH,1.0,160.66,160.66
QTE-000096,PAIDSER-TOLL,1.0,102.8,102.8
QTE-000096,PAIDSER-HOTEL,1.0,630.71,0.0
QTE-000096,PAIDSER-SUBS,6.0,62.06,175.0
QTE-000095,PAIDSER-HOTEL,1.0,125.0,0.0
QTE-000095,PAIDSER-SUBS,2.0,81.74,175.0
QTE-000095,PAIDSER-MILEAGE,556.0,0.36,0.45
QTE-000015,PAIDSER-FLIGHT,1.0,371.91,0.0
QTE-000015,PAIDSER-CARHIRE,1.0,136.54,0.0
QTE-000015,PAIDSER-OTH,1.0,474.13,0.0
QTE-000015,PAIDSER-HOTEL,1.0,219.37,0.0
QTE-000015,PAIDSER-SUBS,1.0,241.23,0.0
QTE-000015,PAIDSER-TOLL,1.0,23.51,0.0
QTE-000015,PAIDSER-FLIGHT,1.0,481.61,481.61
QTE-000015,PAIDSER-FREIGHT,1.0,53.42,53.42
QTE-000015,PAIDSER-CARHIRE,1.0,180.62,180.62
QTE-000015,PAIDSER-OTH,1.0,14.11,14.11
QTE-000015,PAIDSER-TOLL,1.0,80.0,80.0
QTE-000015,PAIDSER-HOTEL,1.0,134.64,0.0
QTE-000015,PAIDSER-TOLL,1.0,18.0,18.0
QTE-000015,PAIDSER-SUBS,4.0,61.6,175.0
QTE-000015,PAIDSER-SUBS,4.0,61.6,175.0
QTE-000015,PAIDSER-FLIGHT,1.0,481.61,481.61
QTE-000015,PAIDSER-FREIGHT,1.0,53.42,53.42
QTE-000015,PAIDSER-OTH,1.0,14.11,14.11
QTE-000015,PAIDSER-CARHIRE,1.0,180.62,180.62
QTE-000015,PAIDSER-TOLL,1.0,80.0,80.0
QTE-000015,PAIDSER-HOTEL,1.0,134.64,0.0
QTE-000015,PAIDSER-SUBS,4.0,61.6,175.0
QTE-000015,PAIDSER-TOLL,1.0,18.0,18.0
QTE-000015,PAIDSER-SUBS,4.0,-61.6,-175.0
QTE-000061,PAIDSER-FLIGHT,1.0,347.06,347.06
QTE-000061,PAIDSER-FREIGHT,1.0,175.0,175.0
QTE-000061,PAIDSER-HOTEL,1.0,297.6,0.0
QTE-000061,PAIDSER-TOLL,1.0,53.0,53.0
QTE-000061,PAIDSER-OTH,1.0,119.27,119.27
QTE-000061,PAIDSER-SUBS,3.0,94.36,175.0
QTE-000103,WAR-SUBS,1.0,201.0,150.75
QTE-000102,INST-CARHIRE,1.0,12190.01,0.0
QTE-000102,INST-SUBS,1.0,1083.22,0.0
QTE-000102,INST-HOTEL,1.0,1478.11,0.0
QTE-000102,INST-OTH,1.0,223.57,0.0
QTE-000102,INST-FLIGHT,1.0,3090.69,0.0
QTE-000102,INST-TOLL,1.0,303.26,0.0
QTE-000103,WAR-SUBS,1.0,117.92,88.44
QTE-000103,WAR-OTH,1.0,89.33,67.0
QTE-000104,PAIDSER-FLIGHT,1.0,555.2,555.2
QTE-000104,PAIDSER-CARHIRE,1.0,174.06,174.06
QTE-000104,PAIDSER-OTH,1.0,66.9,66.9
QTE-000104,PAIDSER-TOLL,1.0,149.18,149.18
QTE-000104,PAIDSER-HOTEL,1.0,316.4,0.0
QTE-000104,PAIDSER-SUBS,3.0,96.77,175.0
QTE-000104,PAIDSER-MILEAGE,208.0,0.36,0.45
QTE-000105,INST-MILEAGE,1156.0,0.36,0.0
QTE-000105,INST-HOTEL,1.0,301.0,0.0
QTE-000105,INST-SUBS,1.0,359.55,0.0
QTE-000097,GRATIS-MILEAGE,6.0,0.36,0.0
QTE-000095,PAIDSER-TOLL,1.0,6.0,6.0
QTE-000095,PAIDSER-MILEAGE,649.0,0.36,0.45
QTE-000095,PAIDSER-SUBS,1.0,81.74,175.0
QTE-000113,PAIDSER-FLIGHT,1.0,140.74,140.74
QTE-000113,PAIDSER-CARHIRE,1.0,171.3,171.3
QTE-000113,PAIDSER-HOTEL,1.0,292.16,0.0
QTE-000113,PAIDSER-SUBS,3.5,67.31,175.0
QTE-000113,PAIDSER-OTH,1.0,28.28,28.28
QTE-000113,PAIDSER-TOLL,1.0,34.86,34.86
QTE-000113,PAIDSER-OTH,1.0,102.37,102.37
QTE-000114,PAIDSER-SUBS,1.0,9.6,0.0
QTE-000061,PAIDSER-FLIGHT,1.0,811.96,0.0
QTE-000061,PAIDSER-CARHIRE,1.0,658.82,258.82
QTE-000099,PAIDSER-HOTEL,1.0,200.55,0.0
QTE-000099,PAIDSER-SUBS,2.0,71.82,175.0
QTE-000099,PAIDSER-FLIGHT,1.0,179.25,179.25
QTE-000099,PAIDSER-CARHIRE,1.0,186.45,186.45
QTE-000099,PAIDSER-FREIGHT,1.0,184.7,184.7
QTE-000099,PAIDSER-OTH,1.0,37.85,37.85
QTE-000099,PAIDSER-TOLL,1.0,100.1,100.1
QTE-000099,PAIDSER-MILEAGE,208.0,0.36,0.45
QTE-000115,PAIDSER-HOTEL,1.0,216.2,0.0
QTE-000115,PAIDSER-SUBS,3.0,101.47,175.0
QTE-000115,PAIDSER-MILEAGE,634.0,0.36,0.45
QTE-000116,PAIDSER-HOTEL,1.0,135.86,135.86
QTE-000116,PAIDSER-SUBS,1.0,223.85,223.85
QTE-000116,PAIDSER-MILEAGE,1708.0,0.36,0.36
QTE-000116,PAIDSER-TOLL,1.0,65.0,65.0
QTE-000019,PAIDSER-HOTEL,1.0,300.0,0.0
QTE-000019,PAIDSER-MILEAGE,1364.0,0.36,0.45
QTE-000019,PAIDSER-SUBS,4.5,88.36,175.0
QTE-000120,PAIDSER-HOTEL,1.0,87.25,0.0
QTE-000120,PAIDSER-SUBS,1.0,48.0,175.0
QTE-000120,PAIDSER-MILEAGE,290.0,0.36,0.45
QTE-000007,PAIDSER-HOTEL,1.0,288.28,0.0
QTE-000007,PAIDSER-OTH,1.0,4.94,4.94
QTE-000007,PAIDSER-SUBS,3.0,114.27,175.0
QTE-000007,PAIDSER-MILEAGE,432.0,0.36,0.45
QTE-000007,PAIDSER-HOTEL,1.0,288.28,0.0
QTE-000007,PAIDSER-MILEAGE,432.0,0.36,0.45
QTE-000007,PAIDSER-OTH,1.0,4.94,4.94
QTE-000007,PAIDSER-SUBS,3.0,114.27,175.0
QTE-000027,PAIDSER-HOTEL,1.0,92.0,0.0
QTE-000027,PAIDSER-TOLL,1.0,11.3,0.0
QTE-000027,PAIDSER-SUBS,1.0,207.52,0.0
QTE-000027,PAIDSER-MILEAGE,1.0,0.36,0.0
QTE-000027,PAIDSER-HOTEL,1.0,92.0,0.0
QTE-000027,PAIDSER-TOLL,1.0,11.3,0.0
QTE-000027,PAIDSER-SUBS,1.0,207.52,0.0
QTE-000027,PAIDSER-MILEAGE,980.0,0.36,0.0
QTE-000113,PAIDSER-HOTEL,1.0,286.1,0.0
QTE-000113,PAIDSER-SUBS,3.5,97.49,175.0
QTE-000113,PAIDSER-MILEAGE,1550.0,0.36,0.45
QTE-000113,PAIDSER-HOTEL,1.0,99.0,0.0
QTE-000113,PAIDSER-TOLL,1.0,8.0,8.0
QTE-000113,PAIDSER-SUBS,1.5,117.81,175.0
QTE-000113,PAIDSER-MILEAGE,1492.0,0.36,0.45
QTE-000126,PAIDSER-HOTEL,1.0,634.44,0.0
QTE-000126,PAIDSER-SUBS,4.5,66.94,175.0
QTE-000126,PAIDSER-TOLL,1.0,142.35,142.35
QTE-000126,PAIDSER-FREIGHT,1.0,189.32,189.32
QTE-000126,PAIDSER-ALLOW,1.0,141.32,0.0
QTE-000126,PAIDSER-MILEAGE,210.0,0.36,0.45
QTE-000126,PAIDSER-OTH,1.0,56.53,56.53
QTE-000126,PAIDSER-FLIGHT,1.0,851.25,851.25
QTE-000127,PAIDSER-SUBS,1.0,158.88,271.94
QTE-000127,PAIDSER-FREIGHT,1.0,175.45,175.45
QTE-000127,PAIDSER-ALLOW,1.0,113.06,0.0
QTE-000127,PAIDSER-OTH,1.0,101.75,101.75
QTE-000127,PAIDSER-FLIGHT,1.0,856.41,856.41
QTE-000120,PAIDSER-SUBS,1.5,117.81,175.0
QTE-000120,PAIDSER-TOLL,1.0,8.0,8.0
QTE-000120,PAIDSER-HOTEL,1.0,99.0,0.0
QTE-000120,PAIDSER-MILEAGE,260.0,0.36,0.45
QTE-000101,WAR-HOTEL,1.0,199.5,149.63
QTE-000101,WAR-SUBS,1.0,82.0,61.5
QTE-000101,WAR-MILEAGE,350.0,0.36,0.27
QTE-000132,PAIDSER-HOTEL,1.0,70.0,0.0
QTE-000132,PAIDSER-SUBS,1.5,115.93,175.0
QTE-000132,PAIDSER-MILEAGE,1260.0,0.36,0.45
QTE-000133,PAIDSER-MILEAGE,210.0,0.36,0.45
QTE-000133,PAIDSER-SUBS,0.5,40.0,175.0
QTE-000138,MAIN-MILEAGE,152.0,0.36,0.0
QTE-000138,MAIN-MILEAGE,433.0,0.36,0.0
QTE-000138,MAIN-HOTEL,1.0,179.97,0.0
QTE-000138,MAIN-SUBS,1.0,171.08,0.0
QTE-000138,MAIN-SUBS,1.0,46.62,0.0
QTE-000101,WAR-MILEAGE,460.0,0.36,0.27
QTE-000101,WAR-HOTEL,1.0,287.5,215.63
QTE-000101,WAR-SUBS,1.0,170.8,128.1
QTE-000139,PAIDSER-MILEAGE,1598.0,0.36,0.45
QTE-000139,PAIDSER-TOLL,1.0,38.25,38.25
QTE-000139,PAIDSER-HOTEL,1.0,573.63,0.0
QTE-000139,PAIDSER-SUBS,4.5,125.71,200.0
QTE-000120,PAIDSER-MILEAGE,260.0,0.36,0.45
QTE-000120,PAIDSER-HOTEL,1.0,257.0,0.0
QTE-000120,PAIDSER-SUBS,3.5,38.72,175.0
QTE-000060,PAIDSER-SUBS,1.0,27.64,27.64
QTE-000060,PAIDSER-MILEAGE,472.0,0.36,0.45
QTE-000140,WAR-HOTEL,1.0,113.74,85.31
QTE-000140,WAR-SUBS,1.0,79.74,59.81
QTE-000140,WAR-MILEAGE,720.0,0.36,0.27
QTE-000141,PAIDSER-FLIGHT,1.0,861.95,861.95
QTE-000141,PAIDSER-CARHIRE,1.0,165.48,165.48
QTE-000141,PAIDSER-SUBS,3.5,68.11,175.0
QTE-000141,PAIDSER-HOTEL,1.0,256.08,0.0
QTE-000141,PAIDSER-OTH,1.0,15.3,15.3
QTE-000141,PAIDSER-TOLL,1.0,79.0,79.0
QTE-000101,WAR-CARHIRE,1.0,279.74,209.81
QTE-000101,WAR-OTH,1.0,47.16,35.37
QTE-000101,WAR-SUBS,1.0,142.38,106.79
QTE-000101,WAR-HOTEL,1.0,103.29,77.47
QTE-000101,WAR-MILEAGE,190.0,0.36,0.27
QTE-000138,MAIN-SUBS,2.0,12.41,0.0
QTE-000138,MAIN-MILEAGE,192.0,0.36,0.0
QTE-000138,MAIN-OTH,1.0,947.84,0.0
QTE-000043,PAIDSER-FLIGHT,1.0,422.2,422.2
QTE-000043,PAIDSER-SUBS,3.0,87.75,175.0
QTE-000043,PAIDSER-HOTEL,1.0,212.32,0.0
QTE-000043,PAIDSER-TOLL,1.0,65.0,65.0
QTE-000043,PAIDSER-CARHIRE,1.0,119.38,119.38
QTE-000120,PAIDSER-FLIGHT,1.0,200.0,200.0
QTE-000120,PAIDSER-CARHIRE,1.0,157.0,157.0
QTE-000120,PAIDSER-SUBS,2.5,58.64,175.0
QTE-000120,PAIDSER-HOTEL,1.0,172.38,0.0
QTE-000120,PAIDSER-OTH,1.0,50.4,50.4
QTE-000120,PAIDSER-HOTEL,1.0,68.0,0.0
QTE-000120,PAIDSER-SUBS,1.0,47.4,175.0
QTE-000120,PAIDSER-MILEAGE,326.0,0.36,0.45
QTE-000101,WAR-HOTEL,1.0,59.6,44.7
QTE-000101,WAR-SUBS,1.0,108.87,81.65
QTE-000101,WAR-MILEAGE,314.0,0.36,0.27
QTE-000147,PAIDSER-HOTEL,1.0,172.68,0.0
QTE-000147,PAIDSER-SUBS,2.0,61.6,175.0
QTE-000147,PAIDSER-MILEAGE,584.0,0.36,0.45
QTE-000147,PAIDSER-OTH,1.0,5.6,5.6
QTE-000147,PAIDSER-OTH,1.0,193.76,193.76
QTE-000034,PAIDSER-FLIGHT,1.0,407.05,407.05
QTE-000034,PAIDSER-CARHIRE,1.0,153.08,153.08
QTE-000034,PAIDSER-OTH,1.0,42.42,42.42
QTE-000034,PAIDSER-TOLL,1.0,15.5,15.5
QTE-000034,PAIDSER-OTH,1.0,50.4,50.4
QTE-000034,PAIDSER-HOTEL,1.0,178.13,0.0
QTE-000034,PAIDSER-SUBS,2.0,99.08,175.0
QTE-000037,PAIDSER-FLIGHT,1.0,407.09,407.09
QTE-000037,PAIDSER-CARHIRE,1.0,153.08,153.08
QTE-000037,PAIDSER-OTH,1.0,42.42,42.42
QTE-000037,PAIDSER-OTH,1.0,50.4,50.4
QTE-000037,PAIDSER-HOTEL,1.0,163.33,0.0
QTE-000037,PAIDSER-SUBS,2.5,59.94,175.0
QTE-000037,PAIDSER-TOLL,1.0,7.0,7.0
QTE-000152,WAR-OTH,1.0,173.0,129.75
QTE-000152,WAR-HOTEL,1.0,195.31,146.48
QTE-000152,WAR-SUBS,1.0,174.1,130.57
QTE-000152,WAR-TOLL,1.0,19.0,14.25
QTE-000152,WAR-MILEAGE,912.0,0.36,0.27
QTE-000013,WAR-MILEAGE,288.0,0.36,0.27
QTE-000013,WAR-HOTEL,1.0,288.0,216.0
QTE-000013,WAR-SUBS,1.0,405.14,303.85
QTE-000155,INST-HOTEL,1.0,105.5,0.0
QTE-000155,INST-MILEAGE,182.0,0.36,0.0
QTE-000155,INST-SUBS,1.0,73.6,0.0
QTE-000156,WAR-FLIGHT,1.0,799.82,599.86
QTE-000156,WAR-OTH,1.0,35.0,26.25
QTE-000156,WAR-OTH,1.0,55.15,41.37
QTE-000156,WAR-CARHIRE,1.0,189.88,142.41
QTE-000156,WAR-TOLL,1.0,117.0,87.75
QTE-000156,WAR-MILEAGE,104.0,0.36,0.27
QTE-000156,WAR-HOTEL,1.0,489.0,366.75
QTE-000156,WAR-SUBS,1.0,90.51,67.88
QTE-000154,INST-FLIGHT,1.0,595.51,0.0
QTE-000154,INST-MILEAGE,41.0,0.36,0.0
QTE-000154,INST-SUBS,1.0,92.82,0.0
QTE-000154,INST-CARHIRE,1.0,823.05,0.0
QTE-000154,INST-HOTEL,1.0,1761.91,0.0
QTE-000101,WAR-CARHIRE,1.0,182.97,137.23
QTE-000101,WAR-OTH,1.0,38.16,28.62
QTE-000101,WAR-HOTEL,1.0,201.0,150.75
QTE-000101,WAR-SUBS,1.0,211.73,158.8
QTE-000152,WAR-HOTEL,1.0,318.12,238.59
QTE-000152,WAR-SUBS,1.0,217.58,203.68
QTE-000152,WAR-CARHIRE,1.0,151.61,113.71
QTE-000152,WAR-FLIGHT,1.0,889.93,667.45
QTE-000152,WAR-OTH,1.0,27.44,20.58
QTE-000152,WAR-MILEAGE,208.0,0.36,0.27
QTE-000152,WAR-TOLL,1.0,137.75,103.31
QTE-000155,INST-HOTEL,1.0,94.3,0.0
QTE-000155,INST-SUBS,1.0,47.2,0.0
QTE-000155,INST-MILEAGE,182.0,0.36,0.0
QTE-000120,PAIDSER-SUBS,1.0,21.6,0.0
QTE-000120,PAIDSER-MILEAGE,1040.0,0.36,0.45
QTE-000162,PAIDSER-FLIGHT,1.0,908.43,908.43
QTE-000162,PAIDSER-CARHIRE,1.0,151.6,151.6
QTE-000162,PAIDSER-OTH,1.0,27.44,27.44
QTE-000162,PAIDSER-SUBS,2.0,139.13,175.0
QTE-000162,PAIDSER-HOTEL,1.0,318.12,0.0
QTE-000162,PAIDSER-TOLL,1.0,133.0,133.0
QTE-000162,PAIDSER-MILEAGE,208.0,0.36,0.45
